42,55
8148,8547
47102,5826
9640,2668
36,73
4945,342774
2779,933892
2622,5233
11728,28
191315,468423
92790,57452
55,58
386761,79
98,1945
99962,228431
690741,1886
507,654
496,16748
078,47833
486,27
453540,36
3081,87
034506,6696
3970,15
47328,296233
7129,67
2243,33
3181,69588
41,198698
45,915
393909,637
74607,19839
73,7298
527711,716
55981,787
9712,8241
61,51286
807734,4522
4545,17383
208315,52
82943,53
910,5489
69,82
54262,149
27114,29
098,532
4110,7465
66,171
220915,254463
3122,98432
338,53752
54931,57745
9091,2588
639110,47
133,14457
95743,164
02,46319
92669,7137
60,587
761975,32
3429,12866
163410,771828
77,13596
14,15628
952,61
8158,45836
631,44
339068,969
752,33785
06748,513
89,278951
34,83443
24624,183
447003,81
37699,86995
5371,65
6453,8617
0246,711
09,41232
48,85184
42343,32544
234,416
5105,173591
4859,457933
829,2934
943,2388
446836,7626
760747,69923
512803,8546
987,85435
8406,855996
60878,42
612299,776916
467,572
336,962239
6196,72955
5642,76
331793,973
387074,92
99,387
9053,81
966935,9372
5113,6316
69502,683677
224,577
53,9532
9803,36116
1072,62
48327,6178
516,785
9853,221348
38889,84
357,1483
586799,67
86,41974
10,75371
4543,42
52586,52894
666,447
227343,13681
43,34592
0336,43999
823110,817973
703224,278118
12,344
950,796197
236,22333
5793,61885
310,213
393471,91
202178,5826
69,62
846575,786965
9435,988387
81898,93
0959,24546
54,38178
49951,76
76739,7237
50,6221
17110,897
92,533
805910,2738
27,21335
66372,86782
26300,974945
462588,511533
7524,35
7558,168
498224,5181
05,3744
052,962946
6770,54631
28528,719788
874,479
04,684
75735,2161
464291,1393
01,2182
942816,466684
206357,78
052354,28
08809,514212
10,18
43,71231
13,727
20744,11
4068,58
62068,16
889527,836
44,92
14,7333
86712,777841
935,14183
329,952297
9627,578523
560,14135
71491,762848
10,986
72,39
00399,39
56,6636
611853,8759
00658,753
68246,57214
62486,8786
0540,575
709,614115
90242,71
2362,324
611,79
163897,141152
72,173834
88914,49864
414349,14
08,6214
2924,36657
939,361
4733,42
871,874
150,6654
66310,82823
733505,2982
